zipcode,city,county,population
92673,San Clemente,Orange County,30768
93420,Arroyo Grande,San Luis Obispo County,30740
95472,Sebastopol,Sonoma County,30736
93662,Selma,Fresno County,30725
94103,San Francisco,San Francisco County,30703
91607,Valley Village,Los Angeles County,30611
92120,San Diego,San Diego County,30550
90680,Stanton,Orange County,30531
91355,Valencia,Los Angeles County,30526
91316,Encino,Los Angeles County,30499
94580,San Lorenzo,Alameda County,30488
94903,San Rafael,Marin County,30427
93654,Reedley,Fresno County,30373
95117,San Jose,Santa Clara County,30369
95682,Shingle Springs,El Dorado County,30314
95824,Sacramento,Sacramento County,30296
91731,El Monte,Los Angeles County,30222
94602,Oakland,Alameda County,30162
92405,San Bernardino,San Bernardino County,30112
92110,San Diego,San Diego County,30108
95834,Sacramento,Sacramento County,30076
90302,Inglewood,Los Angeles County,30017
92653,Laguna Hills,Orange County,30012
95966,Oroville,Butte County,29860
91356,Tarzana,Los Angeles County,29822
94549,Lafayette,Contra Costa County,29795
90028,Los Angeles,Los Angeles County,29774
93704,Fresno,Fresno County,29740
91746,La Puente,Los Angeles County,29709
91324,Northridge,Los Angeles County,29670
91792,West Covina,Los Angeles County,29619
94704,Berkeley,Alameda County,29597
92694,Ladera Ranch,Orange County,29570
91803,Alhambra,Los Angeles County,29567
94585,Suisun City,Solano County,29525
94131,San Francisco,San Francisco County,29523
90039,Los Angeles,Los Angeles County,29510
95603,Auburn,Placer County,29474
95212,Stockton,San Joaquin County,29426
93035,Oxnard,Ventura County,29354
95134,San Jose,Santa Clara County,29349
96150,South Lake Tahoe,El Dorado County,29327
95492,Windsor,Sonoma County,29271
95219,Stockton,San Joaquin County,29270
91384,Castaic,Los Angeles County,29212
96080,Red Bluff,Tehama County,29139
90041,Los Angeles,Los Angeles County,29090
92604,Irvine,Orange County,28990
93401,San Luis Obispo,San Luis Obispo County,28854
94518,Concord,Contra Costa County,28734
92316,Bloomington,San Bernardino County,28704
95204,Stockton,San Joaquin County,28667
92262,Palm Springs,Riverside County,28618
90038,Los Angeles,Los Angeles County,28580
95133,San Jose,Santa Clara County,28565
93105,Santa Barbara,Santa Barbara County,28545
95961,Olivehurst,Yuba County,28489
94062,Redwood City,San Mateo County,28423
94510,Benicia,Solano County,28350
95829,Sacramento,Sacramento County,28264
90713,Lakewood,Los Angeles County,28202
93901,Salinas,Monterey County,28194
90405,Santa Monica,Los Angeles County,28156
93280,Wasco,Kern County,28138
95370,Sonora,Tuolumne County,28096
90710,Harbor City,Los Angeles County,28045
91364,Woodland Hills,Los Angeles County,27971
95363,Patterson,Stanislaus County,27908
90061,Los Angeles,Los Angeles County,27873
94598,Walnut Creek,Contra Costa County,27831
90017,Los Angeles,Los Angeles County,27723
91103,Pasadena,Los Angeles County,27659
94559,Napa,Napa County,27593
95618,El Macero,Yolo County,27519
94306,Palo Alto,Santa Clara County,27435
90270,Maywood,Los Angeles County,27287
90035,Los Angeles,Los Angeles County,27272
91945,Lemon Grove,San Diego County,27236
93725,Fresno,Fresno County,27214
92227,Brawley,Imperial County,27189
92614,Irvine,Orange County,27187
95409,Santa Rosa,Sonoma County,27186
94002,Belmont,San Mateo County,27155
92008,Carlsbad,San Diego County,27151
90746,Carson,Los Angeles County,27075
92868,Orange,Orange County,27072
91042,Tujunga,Los Angeles County,26966
93960,Soledad,Monterey County,26966
90291,Venice,Los Angeles County,26950
92629,Dana Point,Orange County,26877
92860,Norco,Riverside County,26849
94607,Oakland,Alameda County,26823
