latitude,longitude,state,zipcode
36.1853,-115.308,Nevada,80901
35.2016,-80.7315,North Carolina,20802
28.3755,-81.4998,Florida,30208
42.5007,-70.8563,Massachusetts,10904
43.042,-88.0159,Wisconsin,50302
41.8818,-80.1589,Pennsylvania,10604
27.6979,-97.3323,Texas,70804
38.8782,-77.3948,Virginia,20200
40.4999,-89.0025,Illinois,60107
45.4984,-122.767,Oregon,90702
40.4472,-79.8961,Pennsylvania,10502
46.8184,-96.9208,North Dakota,50800
42.2835,-71.6534,Massachusetts,10508
43.0727,-89.4235,Wisconsin,50307
32.1919,-110.849,Arizona,80507
39.6988,-104.988,Colorado,80002
42.3652,-122.891,Oregon,90705
29.1136,-81.0266,Florida,30201
30.0327,-90.2371,Louisiana,70000
39.5226,-119.825,Nevada,80905
33.7346,-117.791,California,90207
37.9771,-122.59,California,90409
37.4932,-121.027,California,90503
41.257,-95.9677,Nebraska,60801
35.1027,-85.3275,Tennessee,30807
35.0741,-85.2185,Tennessee,30704
34.1882,-110.017,Arizona,80509
26.1967,-98.1684,Texas,70805
28.815,-81.2893,Florida,30207
43.68,-70.3455,Maine,40009
39.7426,-84.6508,Ohio,40503
33.7189,-78.8568,South Carolina,20905
37.3601,-120.612,California,90503
28.1541,-80.6706,Florida,30209
32.1919,-110.848,Arizona,80507
41.761,-72.7021,Connecticut,60100
41.928,-87.6917,Illinois,60006
42.6642,-73.7758,New York,10202
41.1724,-112.038,Utah,80400
40.7798,-111.895,Utah,80401
34.2582,-118.665,California,90300
40.5438,-88.9831,Illinois,60107
42.3105,-85.1308,Michigan,40900
32.9786,-96.8176,Texas,70500
41.6457,-70.3263,Massachusetts,20607
35.0845,-80.7942,North Carolina,20802
30.2752,-83.0497,Florida,30200
40.6876,-111.915,Utah,80401
43.5816,-116.363,Idaho,80306
42.3338,-72.6399,Massachusetts,10006
42.0874,-75.9101,New York,10309
41.4931,-81.8004,Ohio,40401
37.9894,-87.5642,Indiana,40707
40.4085,-74.2335,New Jersey,70704
37.9936,-122.101,California,90405
32.0462,-81.06,Georgia,30104
38.5015,-90.4683,Missouri,60300
42.3854,-71.0967,Massachusetts,20104
36.6875,-121.804,California,90309
40.8845,-96.7344,Nebraska,60805
43.6342,-116.382,Idaho,80306
39.1128,-121.634,California,90509
43.025,-85.6929,Michigan,40905
61.1697,-149.84,Alaska,90905
46.5267,-114.048,Montana,50908
43.5045,-88.4478,Wisconsin,50300
33.5316,-101.884,Texas,70904
33.8319,-117.986,California,90006
44.8579,-93.3561,Minnesota,50504
34.3002,-86.3907,Alabama,30509
33.7976,-117.89,California,90208
32.4771,-93.7503,Louisiana,70101
41.7323,-71.1254,Massachusetts,20702
39.8916,-104.996,Colorado,80002
41.5622,-81.5362,Ohio,40401
36.2383,-95.9931,Oklahoma,70401
42.1149,-80.0803,Pennsylvania,10605
45.4272,-122.561,Oregon,90700
40.9174,-81.1184,Ohio,40406
41.3056,-96.0963,Nebraska,60801
39.8929,-76.6225,Pennsylvania,10703
39.9925,-75.1415,Pennsylvania,10901
30.3015,-82.7576,Florida,30200
34.1767,-118.616,California,90103
40.5392,-105.083,Colorado,80005
42.3134,-89.0981,Illinois,60101
27.9591,-80.6401,Florida,30209
47.6572,-117.44,Washington,90902
31.6631,-106.14,Texas,0
40.5049,-88.9823,Illinois,60107
35.9288,-83.8704,Tennessee,30709
37.5123,-77.4725,Virginia,20302
39.7528,-104.999,Colorado,80002
35.1537,-106.5,New Mexico,80701
37.7603,-122.391,California,40109
33.8998,-84.2665,Georgia,0
30.4788,-90.5525,Louisiana,70004
39.4311,-77.4018,Maryland,20107
39.6048,-79.9028,West Virginia,20605
